LAMMPS data file via write_data, version 22 Sep 2017, timestep = 1

2304 atoms
2 atom types

0.0000000000000000e+00 3.9212232899999997e+01 xlo xhi
0.0000000000000000e+00 2.6047581200000000e+01 ylo yhi
0.0000000000000000e+00 2.6123737200000001e+01 zlo zhi

Masses

1 1.008
2 15.9994

Atoms # atomic

3 1 5.4735706523225003e-01 5.4244664649888408e-01 6.0535224794283260e-01 0 0 0
6 1 3.8628160023693892e+00 3.8054684024302627e+00 5.5943302218641933e-01 0 0 0
9 1 2.7295027976303317e+00 5.5956869805204734e-01 2.6722793526459259e+00 0 0 0
889 2 6.5512884797965665e+00 1.3006952584920015e+01 6.5102582460951366e+00 0 0 0
13 2 1.6280246393659754e+00 1.6363294098112382e+00 1.6425496652018587e+00 0 0 0
14 1 1.0771227288129746e+00 2.2260287866251902e+00 2.1928355126403609e+00 0 0 0
15 1 2.1841307672326447e+00 2.2137089060181467e+00 1.0846969865128675e+00 0 0 0
16 2 4.8957503070044490e+00 4.9065461908655204e+00 1.6358122368189980e+00 0 0 0
17 1 5.4765392185204398e+00 4.3746402055050710e+00 2.2138763221571707e+00 0 0 0
18 1 4.3425967114228845e+00 5.4507135107308011e+00 2.2293863239355312e+00 0 0 0
19 2 4.9206632488866253e+00 1.6328424774500530e+00 4.8665385429590948e+00 0 0 0
20 1 5.4769059437639296e+00 2.2020606375113969e+00 4.3005916476660264e+00 0 0 0
21 1 4.3774413489648589e+00 1.0909853483119947e+00 4.2600805298256601e+00 0 0 0
22 2 1.6553319951246857e+00 4.8664290761689744e+00 4.9092747382184605e+00 0 0 0
23 1 1.0836321623176752e+00 4.3071463212376662e+00 4.3482034942844887e+00 0 0 0
24 1 2.1990331266781191e+00 4.2587647190720421e+00 5.4478307746046255e+00 0 0 0
27 1 7.1193174932573733e+00 5.2764180462379806e-01 6.0854396323152937e-01 0 0 0
871 2 3.2892989851829455e+00 1.3022057332810915e+01 9.7882751750547179e+00 0 0 0
607 2 9.7877278962096863e+00 3.6061758472459133e-03 9.7804059209045260e+00 0 0 0
33 1 1.0371753079195759e+01 5.2294953763272112e-01 3.8868451150663286e+00 0 0 0
34 2 6.5640445056578862e+00 3.2924828752894766e+00 3.2539704014674973e+00 0 0 0
35 1 7.1550894057018395e+00 3.8280400664877554e+00 3.8188589716474572e+00 0 0 0
36 1 7.1497221596703833e+00 2.7428488331697589e+00 2.6969403847280398e+00 0 0 0
37 2 8.1933760072358908e+00 1.6357291190142578e+00 1.6485788163556474e+00 0 0 0
38 1 8.7777051433080562e+00 1.0931376767777956e+00 2.2128072838350601e+00 0 0 0
39 1 8.7781164371286042e+00 2.1713986073587752e+00 1.0772917709132619e+00 0 0 0
40 2 1.1404055208107319e+01 4.8893491453883939e+00 1.6472836575905094e+00 0 0 0
41 1 1.0815081384351917e+01 5.4356896699298245e+00 2.2026238933393021e+00 0 0 0
42 1 1.0824444741617059e+01 4.3551991217388561e+00 1.0698037701702234e+00 0 0 0
43 2 1.1462724813068665e+01 1.6044418461039589e+00 4.9284893558508172e+00 0 0 0
44 1 1.2021535695347895e+01 2.1597375774588756e+00 4.3505900248183220e+00 0 0 0
45 1 1.2076402122615896e+01 1.0719818770055878e+00 5.4716173044251608e+00 0 0 0
46 2 8.2063987775180447e+00 4.8726180037073883e+00 4.9149569507580484e+00 0 0 0
47 1 8.7806164382099823e+00 5.4546744503532185e+00 4.3796686464133154e+00 0 0 0
48 1 8.8000073391644573e+00 4.3162559849429956e+00 5.4558853347385572e+00 0 0 0
7 2 3.2992823822075215e+00 1.6618481003475741e-02 3.2507881801074729e+00 0 0 0
58 2 1.3049481050660225e+01 3.2358537941764847e+00 3.2454193636376449e+00 0 0 0
59 1 1.2479457987485901e+01 3.7746444968555970e+00 2.6639847873321081e+00 0 0 0
147 1 6.0907037366200834e-01 7.0477104974157792e+00 5.5062634621444351e-01 0 0 0
149 1 3.7757194324420369e+00 1.0338682722784235e+01 5.7330091508064374e-01 0 0 0
150 1 2.6970765315922427e+00 9.2091890814713437e+00 5.9765026384840836e-01 0 0 0
151 2 3.2740039159450078e+00 6.5252474213062976e+00 3.2965457963556681e+00 0 0 0
152 1 2.7300463789235851e+00 5.9592647083306911e+00 3.8782129744406189e+00 0 0 0
153 1 3.8256633333593868e+00 7.0750036659026119e+00 3.8871932218827756e+00 0 0 0
155 1 5.2752763333178354e-01 1.0303928971422454e+01 3.9008473566903090e+00 0 0 0
157 2 1.6366030080295630e+00 8.1331438227474120e+00 1.6542942258979751e+00 0 0 0
158 1 1.0732606799940123e+00 8.6752734175231971e+00 2.2399919245918962e+00 0 0 0
159 1 2.1915215554663505e+00 7.5869496060141453e+00 2.2451999910115279e+00 0 0 0
160 2 4.8571837435181626e+00 1.1411741770115508e+01 1.6308612482564844e+00 0 0 0
161 1 4.3028237756160079e+00 1.1987673279580520e+01 2.1929448868201264e+00 0 0 0
162 1 5.4044221870717459e+00 1.2008688615974838e+01 1.0844657939654605e+00 0 0 0
163 2 4.9188067886046847e+00 8.1527542630725396e+00 4.9231160503405533e+00 0 0 0
164 1 5.4958505825690347e+00 8.6839654907359360e+00 4.3414331734372826e+00 0 0 0
165 1 5.5088323367383856e+00 7.5903837726708119e+00 5.4622539219506061e+00 0 0 0
166 2 1.6013898081738200e+00 1.1386698239012992e+01 4.9264096335370997e+00 0 0 0
167 1 2.1886703393952209e+00 1.0854973868908230e+01 5.4984267389910144e+00 0 0 0
168 1 1.0633981417238150e+00 1.1943732214221285e+01 5.5224008943309411e+00 0 0 0
